Year,Fuel Work Benefit(£),Non Fuel Work Benefit(£),Fuel Non Work Benefit(£),Non Fuel Non Work Benefit(£),Indirect Tax Revenue(£),Journey Time Work Benefit(£),Journey Time Non Work Benefit(£),Emission Benefit(£),All Benefit(£),Maintenance Cost(£),Construction Cost(£)
2031,"-47,290","9,057","-710,064","-474,720","-4,733","591,815","8,886,143","-166,806","8,083,401","15,355","145,540,147"
2032,"-45,953","8,838","-690,001","-463,253","-4,600","586,183","8,801,574","-136,411","8,056,376","14,836",
2033,"-45,036","8,625","-676,220","-452,063","-4,508","580,604","8,717,811","-111,631","8,017,581","14,334",
2034,"-44,366","8,417","-666,164","-441,144","-4,441","575,078","8,634,844","-91,390","7,970,833","13,849",
2035,"-42,575","8,213","-639,274","-430,488","-4,261","569,605","8,552,667","-74,840","7,939,046","13,381",
2036,"-41,139","8,015","-617,712","-420,090","-4,118","564,184","8,471,272","-61,293","7,899,118","12,928",
2037,"-38,809","7,821","-582,731","-409,943","-3,884","558,815","8,390,652","-50,195","7,871,725","12,491",
2038,"-38,034","7,632","-571,088","-400,041","-3,807","553,497","8,310,799","-41,107","7,817,850","12,069",
2039,"-36,547","7,448","-548,765","-390,378","-3,658","548,229","8,231,706","-33,665","7,774,368","11,661",
2040,"-36,341","7,268","-545,662","-380,948","-3,637","543,012","8,153,365","-27,569","7,709,486","11,266",
2041,"-34,684","7,092","-520,795","-371,747","-3,471","537,844","8,075,770","-25,848","7,664,159","10,885",
2042,"-33,615","6,921","-504,732","-362,767","-3,364","532,726","7,998,914","-24,140","7,609,941","10,517",
2043,"-32,515","6,754","-488,221","-354,005","-3,254","527,656","7,922,789","-14,947","7,564,255","10,162",
2044,"-31,854","6,591","-478,299","-345,454","-3,188","522,634","7,847,389","-13,672","7,504,144","9,818",
2045,"-30,219","6,432","-453,743","-337,110","-3,024","517,660","7,772,706","-12,511","7,460,190","9,486",
2046,"-29,858","6,276","-448,324","-328,967","-2,988","512,734","7,698,734","-12,045","7,395,560","9,165",
2047,"-28,503","6,125","-427,987","-321,021","-2,853","507,854","7,625,465","-8,196","7,350,882","8,855",
2048,"-26,963","5,977","-404,851","-313,267","-2,699","503,021","7,552,895","-7,847","7,306,265","8,556",
2049,"-26,631","5,832","-399,873","-305,700","-2,665","498,234","7,481,014","-4,900","7,245,310","8,266",
2050,"-25,347","5,691","-380,593","-298,316","-2,537","493,492","7,409,818","-3,675","7,198,532","7,987",
2051,"-24,490","5,499","-367,723","-288,228","-2,451","483,956","7,266,633","-3,604","7,069,591","7,717",
2052,"-23,662","5,313","-355,288","-278,481","-2,368","474,604","7,126,215","-3,534","6,942,798","7,456",
2053,"-22,861","5,133","-343,273","-269,064","-2,288","465,433","6,988,511","-3,466","6,818,123","7,204",
2054,"-22,088","4,960","-331,665","-259,965","-2,211","456,439","6,853,467","-3,399","6,695,536","6,960",
2055,"-21,341","4,792","-320,449","-251,174","-2,136","447,619","6,721,033","-3,333","6,575,009","6,725",
2056,"-20,620","4,630","-309,613","-242,680","-2,064","438,969","6,591,158","-3,269","6,456,510","6,497",
2057,"-19,922","4,473","-299,143","-234,473","-1,994","430,487","6,463,792","-3,206","6,340,013","6,277",
2058,"-19,249","4,322","-289,027","-226,544","-1,926","422,168","6,338,888","-3,144","6,225,487","6,065",
2059,"-18,598","4,176","-279,253","-218,883","-1,861","414,010","6,216,398","-3,083","6,112,904","5,860",
2060,"-17,969","4,035","-269,810","-211,482","-1,798","406,010","6,096,274","-3,023","6,002,236","5,662",
2061,"-17,445","3,917","-261,951","-205,322","-1,746","400,097","6,007,493","-2,979","5,922,063","5,497",
2062,"-16,937","3,803","-254,321","-199,342","-1,695","394,271","5,920,005","-2,936","5,842,846","5,337",
2063,"-16,444","3,692","-246,914","-193,536","-1,646","388,529","5,833,792","-2,893","5,764,579","5,181",
2064,"-15,965","3,585","-239,722","-187,899","-1,598","382,871","5,748,834","-2,851","5,687,253","5,030",
2065,"-15,500","3,480","-232,740","-182,426","-1,551","377,295","5,665,113","-2,809","5,610,860","4,884",
2066,"-15,049","3,379","-225,961","-177,112","-1,506","371,800","5,582,611","-2,769","5,535,392","4,742",
2067,"-14,610","3,280","-219,380","-171,954","-1,462","366,386","5,501,311","-2,728","5,460,841","4,603",
2068,"-14,185","3,185","-212,990","-166,945","-1,419","361,050","5,421,195","-2,688","5,387,200","4,469",
2069,"-13,771","3,092","-206,786","-162,083","-1,378","355,792","5,342,245","-2,649","5,314,460","4,339",
2070,"-13,370","3,002","-200,764","-157,362","-1,338","350,610","5,264,446","-2,611","5,242,612","4,213",
2071,"-12,981","2,915","-194,916","-152,779","-1,299","345,505","5,187,779","-2,573","5,171,649","4,090",
2072,"-12,603","2,830","-189,239","-148,329","-1,261","340,473","5,112,229","-2,535","5,101,563","3,971",
2073,"-12,236","2,747","-183,727","-144,008","-1,224","335,515","5,037,779","-2,498","5,032,345","3,855",
2074,"-11,879","2,667","-178,376","-139,814","-1,189","330,628","4,964,413","-2,462","4,963,987","3,743",
2075,"-11,533","2,589","-173,180","-135,742","-1,154","325,813","4,892,116","-2,426","4,896,482","3,634",
2076,"-11,197","2,514","-168,136","-131,788","-1,120","321,069","4,820,871","-2,391","4,829,820","3,528",
2077,"-10,871","2,441","-163,239","-127,950","-1,088","316,393","4,750,664","-2,356","4,763,993","3,425",
2078,"-10,555","2,370","-158,485","-124,223","-1,056","311,785","4,681,480","-2,322","4,698,994","3,326",
2079,"-10,247","2,301","-153,868","-120,605","-1,025","307,245","4,613,303","-2,288","4,634,813","3,229",
2080,"-9,949","2,234","-149,387","-117,092",-995,"302,770","4,546,119","-2,254","4,571,444","3,135",
2081,"-9,659","2,169","-145,036","-113,682",-966,"298,361","4,479,913","-2,222","4,508,877","3,043",
2082,"-9,378","2,105","-140,811","-110,370",-938,"294,016","4,414,672","-2,189","4,447,105","2,955",
2083,"-9,104","2,044","-136,710","-107,156",-911,"289,734","4,350,381","-2,157","4,386,119","2,869",
2084,"-8,839","1,985","-132,728","-104,035",-884,"285,515","4,287,026","-2,126","4,325,911","2,785",
2085,"-8,582","1,927","-128,862","-101,005",-859,"281,357","4,224,593","-2,095","4,266,473","2,704",
2086,"-8,332","1,871","-125,109","-98,063",-834,"277,259","4,163,070","-2,064","4,207,797","2,625",
2087,"-8,089","1,816","-121,465","-95,206",-809,"273,221","4,102,443","-2,034","4,149,874","2,549",
2088,"-7,853","1,763","-117,927","-92,433",-786,"269,242","4,042,698","-2,005","4,092,698","2,474",
2089,"-7,625","1,712","-114,492","-89,741",-763,"265,321","3,983,824","-1,976","4,036,259","2,402",
2090,"-7,403","1,662","-111,158","-87,127",-741,"261,457","3,925,807","-1,947","3,980,550","2,332",
