Year,Fuel Work Benefit(£),Non Fuel Work Benefit(£),Fuel Non Work Benefit(£),Non Fuel Non Work Benefit(£),Indirect Tax Revenue(£),Journey Time Work Benefit(£),Journey Time Non Work Benefit(£),Emission Benefit(£),All Benefit(£),Maintenance Cost(£),Construction Cost(£)
2031,"-38,951","-15,967","-1,106,062","-683,658","-7,373","221,252","6,282,701","-245,784","4,406,156","15,355","124,517,681"
2032,"-37,850","-15,581","-1,074,809","-667,144","-7,165","219,146","6,222,909","-200,998","4,438,505","14,836",
2033,"-37,094","-15,205","-1,053,343","-651,030","-7,022","217,060","6,163,686","-164,485","4,452,566","14,334",
2034,"-36,542","-14,837","-1,037,679","-635,304","-6,917","214,995","6,105,027","-134,661","4,454,077","13,849",
2035,"-35,067","-14,479","-995,793","-619,959","-6,638","212,948","6,046,926","-110,275","4,477,661","13,381",
2036,"-33,885","-14,129","-962,206","-604,984","-6,414","210,922","5,989,378","-90,313","4,488,366","12,928",
2037,"-31,966","-13,788","-907,715","-590,371","-6,051","208,914","5,932,378","-73,961","4,517,438","12,491",
2038,"-31,327","-13,455","-889,580","-576,111","-5,930","206,926","5,875,920","-60,570","4,505,871","12,069",
2039,"-30,102","-13,130","-854,808","-562,195","-5,698","204,957","5,819,999","-49,605","4,509,415","11,661",
2040,"-29,932","-12,813","-849,975","-548,615","-5,666","203,006","5,764,611","-40,622","4,479,991","11,266",
2041,"-28,568","-12,503","-811,239","-535,364","-5,408","201,074","5,709,749","-38,087","4,479,653","10,885",
2042,"-27,687","-12,201","-786,217","-522,432","-5,241","199,161","5,655,410","-35,570","4,465,220","10,517",
2043,"-26,781","-11,907","-760,498","-509,813","-5,069","197,265","5,601,588","-22,024","4,462,759","10,162",
2044,"-26,237","-11,619","-745,043","-497,499","-4,966","195,388","5,548,278","-20,146","4,438,154","9,818",
2045,"-24,890","-11,338","-706,792","-485,482","-4,711","193,529","5,495,476","-18,435","4,437,354","9,486",
2046,"-24,593","-11,064","-698,352","-473,755","-4,655","191,687","5,443,176","-17,748","4,404,693","9,165",
2047,"-23,477","-10,797","-666,672","-462,312","-4,444","189,862","5,391,374","-12,077","4,401,454","8,855",
2048,"-22,208","-10,536","-630,633","-451,145","-4,204","188,056","5,340,065","-11,562","4,397,830","8,556",
2049,"-21,935","-10,282","-622,879","-440,248","-4,152","186,266","5,289,244","-7,220","4,368,792","8,266",
2050,"-20,877","-10,033","-592,848","-429,614","-3,952","184,493","5,238,906","-5,415","4,360,658","7,987",
2051,"-20,171","-9,694","-572,800","-415,086","-3,818","180,928","5,137,672","-5,310","4,291,718","7,717",
2052,"-19,489","-9,366","-553,430","-401,049","-3,689","177,432","5,038,393","-5,208","4,223,592","7,456",
2053,"-18,830","-9,050","-534,714","-387,487","-3,564","174,003","4,941,033","-5,107","4,156,281","7,204",
2054,"-18,193","-8,743","-516,632","-374,383","-3,444","170,641","4,845,554","-5,008","4,089,787","6,960",
2055,"-17,578","-8,448","-499,162","-361,723","-3,327","167,343","4,751,920","-4,912","4,024,111","6,725",
2056,"-16,984","-8,162","-482,282","-349,491","-3,215","164,110","4,660,095","-4,817","3,959,253","6,497",
2057,"-16,409","-7,886","-465,973","-337,672","-3,106","160,939","4,570,045","-4,724","3,895,211","6,277",
2058,"-15,854","-7,619","-450,215","-326,253","-3,001","157,829","4,481,735","-4,632","3,831,986","6,065",
2059,"-15,318","-7,362","-434,990","-315,221","-2,899","154,779","4,395,131","-4,543","3,769,574","5,860",
2060,"-14,800","-7,113","-420,281","-304,561","-2,801","151,788","4,310,201","-4,455","3,707,976","5,662",
2061,"-14,369","-6,906","-408,039","-295,690","-2,720","149,577","4,247,431","-4,390","3,664,892","5,497",
2062,"-13,951","-6,704","-396,155","-287,078","-2,641","147,399","4,185,576","-4,326","3,622,118","5,337",
2063,"-13,544","-6,509","-384,616","-278,716","-2,564","145,252","4,124,621","-4,263","3,579,658","5,181",
2064,"-13,150","-6,320","-373,414","-270,598","-2,489","143,137","4,064,553","-4,201","3,537,516","5,030",
2065,"-12,767","-6,135","-362,538","-262,717","-2,416","141,053","4,005,361","-4,140","3,495,698","4,884",
2066,"-12,395","-5,957","-351,978","-255,065","-2,346","138,998","3,947,030","-4,080","3,454,206","4,742",
2067,"-12,034","-5,783","-341,727","-247,636","-2,278","136,974","3,889,549","-4,020","3,413,044","4,603",
2068,"-11,683","-5,615","-331,773","-240,423","-2,211","134,979","3,832,905","-3,962","3,372,215","4,469",
2069,"-11,343","-5,451","-322,110","-233,421","-2,147","133,014","3,777,086","-3,904","3,331,722","4,339",
2070,"-11,013","-5,292","-312,728","-226,622","-2,084","131,077","3,722,080","-3,847","3,291,568","4,213",
2071,"-10,692","-5,138","-303,620","-220,021","-2,024","129,168","3,667,875","-3,791","3,251,755","4,090",
2072,"-10,380","-4,989","-294,776","-213,613","-1,965","127,287","3,614,459","-3,736","3,212,285","3,971",
2073,"-10,078","-4,843","-286,191","-207,391","-1,907","125,433","3,561,822","-3,681","3,173,160","3,855",
2074,"-9,784","-4,702","-277,855","-201,351","-1,852","123,606","3,509,951","-3,628","3,134,382","3,743",
2075,"-9,499","-4,565","-269,762","-195,486","-1,798","121,806","3,458,835","-3,575","3,095,953","3,634",
2076,"-9,223","-4,432","-261,905","-189,792","-1,746","120,032","3,408,463","-3,523","3,057,873","3,528",
2077,"-8,954","-4,303","-254,277","-184,264","-1,695","118,284","3,358,825","-3,472","3,020,143","3,425",
2078,"-8,693","-4,178","-246,870","-178,897","-1,645","116,562","3,309,911","-3,421","2,982,765","3,326",
2079,"-8,440","-4,056","-239,680","-173,687","-1,597","114,864","3,261,708","-3,371","2,945,738","3,229",
2080,"-8,194","-3,938","-232,699","-168,628","-1,551","113,191","3,214,207","-3,322","2,909,064","3,135",
2081,"-7,956","-3,823","-225,921","-163,716","-1,506","111,543","3,167,399","-3,274","2,872,743","3,043",
2082,"-7,724","-3,712","-219,341","-158,948","-1,462","109,918","3,121,271","-3,226","2,836,775","2,955",
2083,"-7,499","-3,604","-212,952","-154,318","-1,419","108,318","3,075,816","-3,179","2,801,159","2,869",
2084,"-7,280","-3,499","-206,750","-149,824","-1,378","106,740","3,031,022","-3,133","2,765,897","2,785",
2085,"-7,068","-3,397","-200,728","-145,460","-1,338","105,186","2,986,881","-3,087","2,730,987","2,704",
2086,"-6,862","-3,298","-194,882","-141,223","-1,299","103,654","2,943,383","-3,042","2,696,429","2,625",
2087,"-6,663","-3,202","-189,205","-137,110","-1,261","102,144","2,900,518","-2,998","2,662,222","2,549",
2088,"-6,469","-3,109","-183,695","-133,116","-1,224","100,657","2,858,278","-2,954","2,628,366","2,474",
2089,"-6,280","-3,018","-178,344","-129,239","-1,188","99,191","2,816,652","-2,911","2,594,860","2,402",
2090,"-6,097","-2,930","-173,150","-125,475","-1,154","97,746","2,775,633","-2,869","2,561,703","2,332",
