Year,Fuel Work Benefit(£),Non Fuel Work Benefit(£),Fuel Non Work Benefit(£),Non Fuel Non Work Benefit(£),Indirect Tax Revenue(£),Journey Time Work Benefit(£),Journey Time Non Work Benefit(£),Emission Benefit(£),All Benefit(£),Maintenance Cost(£),Construction Cost(£)
2031,"-25,005","4,789","-710,064","-474,720","-4,733","312,934","8,886,143","-166,806","7,822,537","15,355","145,540,147"
2032,"-24,299","4,673","-690,001","-463,253","-4,600","309,956","8,801,574","-136,411","7,797,639","14,836",
2033,"-23,813","4,560","-676,220","-452,063","-4,508","307,006","8,717,811","-111,631","7,761,141","14,334",
2034,"-23,459","4,450","-666,164","-441,144","-4,441","304,085","8,634,844","-91,390","7,716,779","13,849",
2035,"-22,512","4,343","-639,274","-430,488","-4,261","301,191","8,552,667","-74,840","7,686,823","13,381",
2036,"-21,753","4,238","-617,712","-420,090","-4,118","298,324","8,471,272","-61,293","7,648,867","12,928",
2037,"-20,521","4,135","-582,731","-409,943","-3,884","295,485","8,390,652","-50,195","7,622,997","12,491",
2038,"-20,111","4,036","-571,088","-400,041","-3,807","292,673","8,310,799","-41,107","7,571,352","12,069",
2039,"-19,325","3,938","-548,765","-390,378","-3,658","289,888","8,231,706","-33,665","7,529,738","11,661",
2040,"-19,216","3,843","-545,662","-380,948","-3,637","287,129","8,153,365","-27,569","7,467,303","11,266",
2041,"-18,340","3,750","-520,795","-371,747","-3,471","284,396","8,075,770","-25,848","7,423,714","10,885",
2042,"-17,774","3,659","-504,732","-362,767","-3,364","281,690","7,998,914","-24,140","7,371,484","10,517",
2043,"-17,193","3,571","-488,221","-354,005","-3,254","279,009","7,922,789","-14,947","7,327,748","10,162",
2044,"-16,843","3,485","-478,299","-345,454","-3,188","276,354","7,847,389","-13,672","7,269,769","9,818",
2045,"-15,979","3,401","-453,743","-337,110","-3,024","273,724","7,772,706","-12,511","7,227,462","9,486",
2046,"-15,788","3,318","-448,324","-328,967","-2,988","271,119","7,698,734","-12,045","7,165,057","9,165",
2047,"-15,072","3,238","-427,987","-321,021","-2,853","268,538","7,625,465","-8,196","7,122,112","8,855",
2048,"-14,257","3,160","-404,851","-313,267","-2,699","265,983","7,552,895","-7,847","7,079,116","8,556",
2049,"-14,081","3,084","-399,873","-305,700","-2,665","263,451","7,481,014","-4,900","7,020,329","8,266",
2050,"-13,403","3,009","-380,593","-298,316","-2,537","260,944","7,409,818","-3,675","6,975,247","7,987",
2051,"-12,949","2,907","-367,723","-288,228","-2,451","255,902","7,266,633","-3,604","6,850,486","7,717",
2052,"-12,511","2,809","-355,288","-278,481","-2,368","250,957","7,126,215","-3,534","6,727,797","7,456",
2053,"-12,088","2,714","-343,273","-269,064","-2,288","246,107","6,988,511","-3,466","6,607,151","7,204",
2054,"-11,679","2,622","-331,665","-259,965","-2,211","241,352","6,853,467","-3,399","6,488,520","6,960",
2055,"-11,284","2,534","-320,449","-251,174","-2,136","236,688","6,721,033","-3,333","6,371,876","6,725",
2056,"-10,903","2,448","-309,613","-242,680","-2,064","232,114","6,591,158","-3,269","6,257,190","6,497",
2057,"-10,534","2,365","-299,143","-234,473","-1,994","227,629","6,463,792","-3,206","6,144,435","6,277",
2058,"-10,178","2,285","-289,027","-226,544","-1,926","223,230","6,338,888","-3,144","6,033,583","6,065",
2059,"-9,834","2,208","-279,253","-218,883","-1,861","218,917","6,216,398","-3,083","5,924,606","5,860",
2060,"-9,501","2,133","-269,810","-211,482","-1,798","214,686","6,096,274","-3,023","5,817,478","5,662",
2061,"-9,224","2,071","-261,951","-205,322","-1,746","211,560","6,007,493","-2,979","5,739,900","5,497",
2062,"-8,956","2,011","-254,321","-199,342","-1,695","208,479","5,920,005","-2,936","5,663,244","5,337",
2063,"-8,695","1,952","-246,914","-193,536","-1,646","205,443","5,833,792","-2,893","5,587,502","5,181",
2064,"-8,442","1,895","-239,722","-187,899","-1,598","202,451","5,748,834","-2,851","5,512,667","5,030",
2065,"-8,196","1,840","-232,740","-182,426","-1,551","199,502","5,665,113","-2,809","5,438,732","4,884",
2066,"-7,957","1,786","-225,961","-177,112","-1,506","196,597","5,582,611","-2,769","5,365,688","4,742",
2067,"-7,725","1,734","-219,380","-171,954","-1,462","193,734","5,501,311","-2,728","5,293,529","4,603",
2068,"-7,500","1,684","-212,990","-166,945","-1,419","190,913","5,421,195","-2,688","5,222,246","4,469",
2069,"-7,282","1,635","-206,786","-162,083","-1,378","188,132","5,342,245","-2,649","5,151,832","4,339",
2070,"-7,070","1,587","-200,764","-157,362","-1,338","185,393","5,264,446","-2,611","5,082,280","4,213",
2071,"-6,864","1,541","-194,916","-152,779","-1,299","182,693","5,187,779","-2,573","5,013,581","4,090",
2072,"-6,664","1,496","-189,239","-148,329","-1,261","180,032","5,112,229","-2,535","4,945,728","3,971",
2073,"-6,470","1,452","-183,727","-144,008","-1,224","177,410","5,037,779","-2,498","4,878,712","3,855",
2074,"-6,281","1,410","-178,376","-139,814","-1,189","174,827","4,964,413","-2,462","4,812,527","3,743",
2075,"-6,098","1,369","-173,180","-135,742","-1,154","172,281","4,892,116","-2,426","4,747,163","3,634",
2076,"-5,921","1,329","-168,136","-131,788","-1,120","169,772","4,820,871","-2,391","4,682,614","3,528",
2077,"-5,748","1,290","-163,239","-127,950","-1,088","167,299","4,750,664","-2,356","4,618,872","3,425",
2078,"-5,581","1,253","-158,485","-124,223","-1,056","164,863","4,681,480","-2,322","4,555,928","3,326",
2079,"-5,418","1,216","-153,868","-120,605","-1,025","162,462","4,613,303","-2,288","4,493,775","3,229",
2080,"-5,260","1,181","-149,387","-117,092",-995,"160,096","4,546,119","-2,254","4,432,405","3,135",
2081,"-5,107","1,146","-145,036","-113,682",-966,"157,764","4,479,913","-2,222","4,371,810","3,043",
2082,"-4,958","1,113","-140,811","-110,370",-938,"155,467","4,414,672","-2,189","4,311,983","2,955",
2083,"-4,814","1,081","-136,710","-107,156",-911,"153,203","4,350,381","-2,157","4,252,915","2,869",
2084,"-4,674","1,049","-132,728","-104,035",-884,"150,972","4,287,026","-2,126","4,194,598","2,785",
2085,"-4,538","1,019","-128,862","-101,005",-859,"148,773","4,224,593","-2,095","4,137,025","2,704",
2086,"-4,405",989,"-125,109","-98,063",-834,"146,606","4,163,070","-2,064","4,080,189","2,625",
2087,"-4,277",960,"-121,465","-95,206",-809,"144,471","4,102,443","-2,034","4,024,081","2,549",
2088,"-4,152",932,"-117,927","-92,433",-786,"142,367","4,042,698","-2,005","3,968,693","2,474",
2089,"-4,031",905,"-114,492","-89,741",-763,"140,294","3,983,824","-1,976","3,914,018","2,402",
2090,"-3,914",879,"-111,158","-87,127",-741,"138,251","3,925,807","-1,947","3,860,049","2,332",
