Year,p/kwh,efficiency,carbon_emission(kg/kwh),(pounds/t)
2031,15.25407071,0.178515924,0.083383723,274.1231351
2032,15.32131824,0.176985393,0.069424864,278.2975991
2033,15.50949721,0.17558734,0.057802789,282.5356336
2034,15.77507131,0.174273662,0.048126308,286.8382067
2035,15.62577687,0.17301605,0.04006972,291.2063012
2036,15.58336692,0.171784801,0.033361845,295.6409149
2037,15.17360345,0.170552455,0.027776902,300.1430608
2038,15.34854603,0.169329929,0.023126908,304.7137673
2039,15.22222624,0.168122358,0.019255346,309.3540785
2040,15.62335846,0.16691124,0.016031903,314.0650543
2041,15.38837125,0.165740662,0.015282961,318.7760301
2042,15.38821686,0.164606139,0.014509411,323.5576706
2043,15.35491791,0.163516442,0.00913081,328.4110356
2044,15.51443187,0.16247083,0.008486546,333.3372012
2045,15.17624287,0.161464148,0.007889204,338.3372592
2046,15.45943389,0.160490209,0.007714832,343.4123181
2047,15.21183355,0.159557728,0.005331246,348.5635029
2048,14.82946163,0.158656358,0.005182195,353.7919554
2049,15.09186036,0.157792218,0.003285134,359.0988347
2050,14.79809483,0.156957172,0.002500849,364.4853173
2051,14.79809483,0.156957172,0.002500849,369.952597
2052,14.79809483,0.156957172,0.002500849,375.501886
2053,14.79809483,0.156957172,0.002500849,381.1344143
2054,14.79809483,0.156957172,0.002500849,386.8514305
2055,14.79809483,0.156957172,0.002500849,392.6542019
2056,14.79809483,0.156957172,0.002500849,398.544015
2057,14.79809483,0.156957172,0.002500849,404.5221752
2058,14.79809483,0.156957172,0.002500849,410.5900078
2059,14.79809483,0.156957172,0.002500849,416.7488579
2060,14.79809483,0.156957172,0.002500849,423.0000908
2061,14.79809483,0.156957172,0.002500849,429.3450922
2062,14.79809483,0.156957172,0.002500849,435.7852685
2063,14.79809483,0.156957172,0.002500849,442.3220476
2064,14.79809483,0.156957172,0.002500849,448.9568783
2065,14.79809483,0.156957172,0.002500849,455.6912315
2066,14.79809483,0.156957172,0.002500849,462.5265999
2067,14.79809483,0.156957172,0.002500849,469.4644989
2068,14.79809483,0.156957172,0.002500849,476.5064664
2069,14.79809483,0.156957172,0.002500849,483.6540634
2070,14.79809483,0.156957172,0.002500849,490.9088744
2071,14.79809483,0.156957172,0.002500849,498.2725075
2072,14.79809483,0.156957172,0.002500849,505.7465951
2073,14.79809483,0.156957172,0.002500849,513.332794
2074,14.79809483,0.156957172,0.002500849,521.0327859
2075,14.79809483,0.156957172,0.002500849,528.8482777
2076,14.79809483,0.156957172,0.002500849,536.7810019
2077,14.79809483,0.156957172,0.002500849,544.8327169
2078,14.79809483,0.156957172,0.002500849,553.0052077
2079,14.79809483,0.156957172,0.002500849,561.3002858
2080,14.79809483,0.156957172,0.002500849,569.7197901
2081,14.79809483,0.156957172,0.002500849,578.2655869
2082,14.79809483,0.156957172,0.002500849,586.9395707
2083,14.79809483,0.156957172,0.002500849,595.7436643
2084,14.79809483,0.156957172,0.002500849,604.6798192
2085,14.79809483,0.156957172,0.002500849,613.7500165
2086,14.79809483,0.156957172,0.002500849,622.9562668
2087,14.79809483,0.156957172,0.002500849,632.3006108
2088,14.79809483,0.156957172,0.002500849,641.7851199
2089,14.79809483,0.156957172,0.002500849,651.4118967
2090,14.79809483,0.156957172,0.002500849,661.1830752
