Year,p/kwh,efficiency,carbon_emission(kg/kwh),(pounds/t),work_price_65,work_price_28,work_price_22,non_work_price_65,non_work_price_28,non_work_price_22,electricity_work_price,electricity non work price
2031,15.25407071,0.178515924,0.12174023558000001,274.1231351,6.150836638,8.585194205,9.450542258,7.381003966,10.30223305,11.34065071,2.718860201,2.854803211
2032,15.32131824,0.176985393,0.10136030144000001,278.2975991,6.205786116,8.661891403,9.534970181,7.446943339,10.39426968,11.44196422,2.707432997,2.842804647
2033,15.50949721,0.17558734,0.08439207194,282.5356336,6.28986894,8.779252246,9.664160456,7.547842728,10.5351027,11.59699255,2.719036751,2.854988588
2034,15.77507131,0.174273662,0.07026440968,286.8382067,6.374805585,8.897804833,9.794662598,7.649766702,10.6773658,11.75359512,2.744904559,2.882149787
2035,15.62577687,0.17301605,0.0585017912,291.2063012,6.434502473,8.981128355,9.886384748,7.721402967,10.77735403,11.8636617,2.69930632,2.834271636
2036,15.58336692,0.171784801,0.0487082937,295.6409149,6.438381134,8.986542101,9.892344174,7.726057361,10.78385052,11.87081301,2.672822951,2.806464099
2037,15.17360345,0.170552455,0.04055427692,300.1430608,6.445130967,8.995963359,9.902715052,7.73415716,10.79515603,11.88325806,2.583871216,2.713064776
2038,15.34854603,0.169329929,0.03376528568,304.7137673,6.452121097,9.00572002,9.913455139,7.742545317,10.80686402,11.89614617,2.594926896,2.724673241
2039,15.22222624,0.168122358,0.028112805159999997,309.3540785,6.458967744,9.015276409,9.923974769,7.750761292,10.81833169,11.90876972,2.555217096,2.682977951
2040,15.62335846,0.16691124,0.02340657838,314.0650543,6.463851774,9.022093426,9.931478909,7.756622129,10.82651211,11.91777469,2.603659213,2.733842173
2041,15.38837125,0.165740662,0.02231312306,318.7760301,6.453900525,9.008203704,9.916189167,7.74468063,10.80984444,11.899427,2.546512917,2.673838562
2042,15.38821686,0.164606139,0.021183740059999998,323.5576706,6.451018079,9.004180453,9.911760391,7.741221695,10.80501654,11.89411247,2.529056239,2.655509051
2043,15.35491791,0.163516442,0.0133309826,328.4110356,6.449764625,9.002430911,9.909834503,7.73971755,10.80291709,11.8918014,2.506877353,2.632221221
2044,15.51443187,0.16247083,0.012390357159999999,333.3372012,6.446458478,8.997816269,9.904754726,7.735750174,10.79737952,11.88570567,2.516723104,2.64255926
2045,15.17624287,0.161464148,0.01151823784,338.3372592,6.441289251,8.990601182,9.896812391,7.729547101,10.78872142,11.87617487,2.446608794,2.568939234
2046,15.45943389,0.160490209,0.011263654719999999,343.4123181,6.434604668,8.981270997,9.886541767,7.721525601,10.7775252,11.86385012,2.477229761,2.601091249
2047,15.21183355,0.159557728,0.0077836191600000005,348.5635029,6.427109099,8.970808857,9.875025092,7.712530919,10.76497063,11.85003011,2.423391426,2.544560998
2048,14.82946163,0.158656358,0.007566004699999999,353.7919554,6.41880723,8.959221302,9.862269565,7.702568676,10.75106556,11.83472348,2.349129855,2.466586348
2049,15.09186036,0.157792218,0.00479629564,359.0988347,6.409991958,8.946917151,9.848725212,7.691990349,10.73630058,11.81847025,2.377675145,2.496558902
2050,14.79809483,0.156957172,0.0036512395399999997,364.4853173,6.400761105,8.934032942,9.834542333,7.680913326,10.72083953,11.8014508,2.31905544,2.435008212
2051,14.79809483,0.156957172,0.0036512395399999997,369.952597,6.3927991,8.922919761,9.822308995,7.67135892,10.70750371,11.78677079,2.31905544,2.435008212
2052,14.79809483,0.156957172,0.0036512395399999997,375.501886,6.384860444,8.91183917,9.810111532,7.661832533,10.694207,11.77213384,2.31905544,2.435008212
2053,14.79809483,0.156957172,0.0036512395399999997,381.1344143,6.376945068,8.900791074,9.797949839,7.652334082,10.68094929,11.75753981,2.31905544,2.435008212
2054,14.79809483,0.156957172,0.0036512395399999997,386.8514305,6.369052905,8.889775377,9.78582381,7.642863486,10.66773045,11.74298857,2.31905544,2.435008212
2055,14.79809483,0.156957172,0.0036512395399999997,392.6542019,6.361183886,8.878791984,9.773733341,7.633420663,10.65455038,11.72848001,2.31905544,2.435008212
2056,14.79809483,0.156957172,0.0036512395399999997,398.544015,6.353337943,8.8678408,9.761678329,7.624005532,10.64140896,11.71401399,2.31905544,2.435008212
2057,14.79809483,0.156957172,0.0036512395399999997,404.5221752,6.345515009,8.856921731,9.749658668,7.614618011,10.62830608,11.6995904,2.31905544,2.435008212
2058,14.79809483,0.156957172,0.0036512395399999997,410.5900078,6.337715016,8.846034683,9.737674256,7.60525802,10.61524162,11.68520911,2.31905544,2.435008212
2059,14.79809483,0.156957172,0.0036512395399999997,416.7488579,6.329937897,8.835179562,9.725724988,7.595925477,10.60221547,11.67086999,2.31905544,2.435008212
2060,14.79809483,0.156957172,0.0036512395399999997,423.0000908,6.322183585,8.824356274,9.713810762,7.586620302,10.58922753,11.65657291,2.31905544,2.435008212
